hspell 1.4-1
htop 2.2.0-2
http-parser 2.8.1-1
hunspell 1.6.2-1
hunspell-en_US 2018.04.16-5
hwids 20180518-1
hyphen 2.8.8-2
i3-wm 4.15-1
i3status 2.12-1
iana-etc 20180221-1
icu 62.1-1
ijs 0.35-1
ilmbase 2.3.0-1
imagemagick 7.0.8.11-1
imlib2 1.5.1-1
inetutils 1.9.4-5
intltool 0.51.0-3
iproute2 4.18.0-1
iptables 1.8.0-1
iputils 20180629.f6aac8d-2
iso-codes 3.79-1
iw 4.14-1
jack 0.125.0-5
jansson 2.11-1
jasper 2.0.14-1
java-runtime-common 3-1
jbig2dec 0.14-1
jemalloc 1:5.1.0-1
jfsutils 1.1.15-5
jre8-openjdk 8.u181-1
jre8-openjdk-headless 8.u181-1
js52 52.9.0-1
js60 60.2.0-1
json-c 0.13.1-2
json-glib 1.4.4-1
jsoncpp 1.8.4-2
karchive 5.50.0-1
kauth 5.50.0-1
kbd 2.0.4-1
kbookmarks 5.50.0-1
kcodecs 5.50.0-1
kcompletion 5.50.0-1
kconfig 5.50.0-1
kconfigwidgets 5.50.0-1
kcoreaddons 5.50.0-1
kcrash 5.50.0-1
kdbusaddons 5.50.0-1
keyutils 1.5.11-1
kglobalaccel 5.50.0-1
kguiaddons 5.50.0-1
ki18n 5.50.0-1
kiconthemes 5.50.0-1
kio 5.50.0-1
kitemviews 5.50.0-1
kjobwidgets 5.50.0-1
kmod 25-1
knotifications 5.50.0-1
krb5 1.16.1-1
kservice 5.50.0-1
ktextwidgets 5.50.0-1
kwallet 5.50.0-1
kwidgetsaddons 5.50.0-1
kwindowsystem 5.50.0-1
kxmlgui 5.50.0-1
l-smash 2.14.5-1
ladspa 1.13-7
lame 3.100-2
lcms2 2.9-1
ldb 1:1.3.6-1
ldns 1.7.0-4
less 530-1
libaec 1.0.2-1
libaio 0.3.111-1
libarchive 3.3.3-1
libass 0.14.0-1
libassuan 2.5.1-1
libasyncns 0.8+3+g68cd5af-1
libatasmart 0.19-4
libatomic_ops 7.6.6-1
libavc1394 0.5.4-3
libblockdev 2.19-1
libbluray 1.0.2-2
libbs2b 3.1.0-6
libbsd 0.9.1-1
libbytesize 1.3-2
libcaca 0.99.beta19-1
libcanberra 0.30+2+gc0620e4-1
libcanberra-pulse 0.30+2+gc0620e4-1
libcap 2.25-1
libcap-ng 0.7.9-1
libcddb 1.3.2-5
libcdio 2.0.0-1
libcdio-paranoia 10.2+0.94+2-2
libcroco 0.6.12+4+g9ad7287-1
libcue 2.2.1-1
libcups 2.2.8-3
libcurl-compat 7.61.1-1
